"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9012999","RHO GTPase cycle","349/6811","450/11287",0.775555555555556,1.28522912282419,7.61686065765427,2.14402637898143e-15,3.69630147736399e-12,3.69630147736399e-12,"VRK2/RAPGEF1/DOCK8/ARL13B/FLOT2/ECT2/ARMCX3/GIT1/ARHGAP21/LBR/FNBP1/SYDE1/RHOB/MCF2L/TNFAIP1/PARD6A/WDR11/MACO1/BCR/CKB/BRK1/ARHGEF39/DBN1/ARHGDIA/NET1/ROCK1/KCTD13/JUP/AKAP13/NIPSNAP2/SRGAP3/CDC42/WDR91/SOWAHC/RACGAP1/STAM2/RHOD/ARHGAP15/RRAS2/AAAS/SHMT2/TJP2/SH3RF1/ITSN2/ALDH3A2/ITGB1/RHOU/PIK3R1/BAIAP2L1/BAIAP2/CDC42SE2/SPEN/ARHGAP29/LEMD3/STK10/FAM13A/DSG1/CCP110/ABI2/VAV2/BCAP31/SRRM1/FNBP1L/TRIP10/TXNL1/FMNL3/WWP2/PDE5A/TWF1/DSG2/GNA13/WIPF1/RHOC/PRAG1/WDR81/ARHGEF10L/RHOH/ARHGEF7/RALGAPA1/ARHGEF16/CDC37/ARHGAP18/RTKN/TUBA1B/GOPC/KCTD3/ARFGAP3/CKAP4/CCT2/ARHGAP45/ABCD3/MSI2/EFHD2/GRB7/RHOBTB2/LRRC1/EMD/TEX2/FGD2/NDUFA5/TAOK3/LCK/ARFGAP2/UACA/SLC4A7/SOS2/TIAM2/FMNL1/SRGAP1/DEF6/FARP2/WAS/ARHGEF3/STBD1/TOR1AIP1/IL32/ARHGAP8/HSP90AB1/SENP1/PAK3/RALBP1/ARHGAP25/CHN1/KIF14/COPS4/GIT2/PLEKHG3/VANGL1/ZNF512B/FGD4/DOCK9/IQGAP2/AMIGO2/RHOF/SRC/PARD6B/PLXNB1/WDR6/CCDC88A/MAP3K11/RAC3/CDC42EP2/DOCK1/LAMTOR1/STK38/ARHGAP19/CDC42EP4/ARHGAP22/MYO9A/RHPN2/ARHGAP12/ARHGEF11/RHOQ/RND1/RHOG/RASGRF2/ALS2/CLTC/RBMX/TMPO/ARHGAP42/SHKBP1/NCK2/RBBP6/MYO6/GRB2/ARHGAP26/WASL/ARHGAP40/DLC1/ARHGAP35/RNF20/RASAL2/PIK3R2/SPTBN1/FRS3/NISCH/OCRL/DST/ERBIN/ARHGAP5/KIDINS220/PAK2/PIK3R3/TMEM59/ARHGEF18/ANKFY1/SLC1A5/VAPB/VAV3/ARAP3/TPM3/IQGAP3/EPHA2/RHOA/NDUFS3/CCDC187/TMOD3/GOLGA3/RAC1/RHOBTB1/CPD/ARHGEF2/PAK4/ARHGEF4/NSFL1C/EPSTI1/ABI1/MTX1/TRA2B/CAPZB/STIP1/PICALM/CPNE8/CDC42EP1/SPTAN1/SNAP23/LETM1/NOX3/ARHGAP1/ARHGAP4/ADD3/GFOD1/DIAPH2/ACTN1/FAF2/SWAP70/DIAPH3/ARHGEF17/CYBA/TRIO/CHN2/ROCK2/ARHGAP32/DSP/RAB7A/CDC42BPB/ACBD5/PLXNA1/CAV1/EMC3/STAM/ANKRD26/ARHGAP31/YKT6/DOCK6/PCDH7/HSP90AA1/FMNL2/GJA1/NCKAP1/RND3/SAMM50/DOCK11/MTR/NCKAP1L/USP9X/FAM169A/PLEKHG6/CFTR/KALRN/CCT7/ARHGEF1/PLEKHG1/CSK/DOCK5/NGEF/NCF2/NOXO1/MOSPD2/GMIP/SPATA13/PLD1/ARHGEF19/ESYT1/DBT/PLXND1/WASF2/MYO9B/FARP1/VIM/ARHGEF12/HNRNPC/FAM135A/DNMBP/FRS2/ABL2/ACTB/TPM4/FAM91A1/SOS1/DOCK7/PGRMC2/WASF3/MUC13/SYDE2/ARHGEF40/DIAPH1/SH3PXD2A/PTK2B/CUL3/ARHGAP24/PIK3CA/PLEKHG2/VCP/AKAP12/KTN1/LMNB1/PEAK1/IQGAP1/TFRC/ARAP2/NUDC/LMAN1/CEP97/ACTG1/SRGAP2/ARHGAP17/ITSN1/MPP7/WHAMM/STMN2/ARHGEF28/PKP4/WIPF3/CAVIN1/ANLN/WIPF2/DAAM1/PAK1/CIT/ARHGAP33/NCK1/OSBPL11/NHS/C1QBP/CDC42BPA/ANKLE2/STARD13/DOCK4/FERMT2/DEPDC1B/SCFD1/PKN3/PHIP/CYFIP2/FGD5/BAIAP2L2/SH3BP1",349
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","336/6811","453/11287",0.741721854304636,1.2291608529638,6.14080829410219,1.99541487488427e-10,1.72004762215024e-07,1.72004762215024e-07,"PPP2R5E/BCL11A/ERLEC1/CAMK2B/RAP1A/PPM1B/SPRED2/HDAC1/PIK3AP1/CD86/RANBP2/BCR/PPP2R1B/TYK2/STRN/PSMD7/UBA52/ADRM1/RRBP1/EEF1G/FGF19/KRAS/ZC3HC1/PHB1/AREG/ATG7/HGF/SQSTM1/PPP2R5C/UBB/SHC1/HIP1/FN1/CEBPB/ARAF/PSMB6/PPP2R1A/PIK3R1/MYO18A/PSMC3/TNKS/CNKSR2/AXIN1/SND1/IHH/PDGFRB/CNTRL/ARRB2/SKP1/PSMD2/RICTOR/MAPK8/TENT4A/FGG/PIK3CD/ITGB3/ZFYVE9/MYH9/APH1B/HHAT/SMAD2/APH1A/SEC31A/PSMC2/MAP2K2/PSMC6/CDC37/MIB2/STAT3/MPRIP/AKAP9/AKT2/APC/MAPKAP1/HBEGF/PIK3CB/DLL4/ARRB1/PSMA3/RBPJ/SYVN1/FXR1/TNRC6C/DCTN1/DNMT1/FIP1L1/ATIC/FOXO3/LCK/FGA/PPP1CC/MAML3/BRAP/LRRFIP1/GSK3A/FZD4/NOTCH1/CUX1/ETV6/GOLGA4/CD28/PTPN11/CPSF6/MYC/STAT1/FGFR1OP2/CHUK/FBXW7/LRP5/CLCN6/UBC/PSMB2/PPFIBP1/MAMLD1/HDAC5/FKBP1A/AP3B1/KSR1/RBX1/DUSP9/KDM7A/AKT1S1/TGFBR2/BCL2L11/SRC/SEM1/POLR2K/MAP3K11/AGTRAP/HDAC9/NR4A1/PPP2R5B/EIF2AK3/NPM1/PSMB1/FGFR3/PSMA2/TBL1X/MARK3/AGGF1/ERBB4/CCNC/CDKN1A/FAM114A2/RHOG/JUNB/TBL1XR1/CAMK2G/BCL2L1/CLTC/OS9/AGO3/IRS1/TFG/PDPK1/LRP6/DERL2/IRS2/PSMA5/GRB2/PSMB4/HDAC6/PPP2CB/JUN/FOXO1/CREBBP/FGF1/KANK1/PIK3R2/CCNB1/SPTBN1/FRS3/HDAC7/HEY2/BAG4/PSMA6/SMAD3/MTOR/TRAK1/CALM1/ERBIN/QKI/DUSP6/MAPK3/PSMA7/PSMA4/MAML1/ERLIN2/FZD5/PIK3R3/NOX4/RAF1/TPM3/DUSP7/NCOR2/HDAC10/NRAS/RAC1/FLT3LG/BTC/PTEN/GAB2/AKT1/CLIP1/PAPSS1/NCOR1/CALM3/PPP2R5A/AGO4/HEYL/SPRED1/JAK2/RAP1B/AGO2/CREB1/GTF2F2/TRIP11/MET/PDGFRA/SMAD4/RNF43/PSMD8/ADAM10/NF1/ESR2/EGFR/CTNNB1/MAP2K1/ZC3HAV1/RB1/TLN1/BRAF/TRIM24/KAT2B/GCC2/POLR2I/AGO1/HSP90AA1/STAT5A/POLR2B/POLR2D/MOV10/YWHAB/FGF7/EP300/CEP43/NRG4/CSK/KLC1/CDKN1B/FYN/POLR2G/DUSP10/PSMD3/GAB1/PTPN6/MLST8/NEURL1/NRG2/ERBB3/PSMD1/SEL1L/PDGFA/SNW1/BCL2A1/HDAC11/SHH/FGFR4/CAMK2D/KREMEN1/MECP2/MAPK1/FRS2/HDAC4/CUL1/POLR2H/ACTB/TPM4/PSMD12/SOS1/NRG1/CSNK1A1/LYN/NTF3/MRAS/GOLGB1/RNF213/DKK1/FGB/PIK3CA/VCP/FGF8/BIRC6/MDM2/PSEN1/IQGAP1/POLR2A/TCF7L2/TGFB1/FGF2/DUSP16/ERBB2/STAT5B/ACTG1/CTBP1/CDK8/ESR1/IRF4/PRKAR1A/YES1/LMO7/EML4/VCL/PTPN12/MIB1/ADAM17/CBL/RPS6KB2/HDAC8/LMNA/GSK3B/PSMB7/PRF1/PSMA1/NRG3/KIF5B/PEBP1/PRR5/POLR2E/KITLG/FOXO4/SHOC2/KLB/TGFBR1/RPS6/HES1",336
"R-HSA-170834","Signaling by TGF-beta Receptor Complex","83/6811","94/11287",0.882978723404255,1.46324781251855,5.56332557523667,1.78402170581086e-09,1.02521780693931e-06,1.02521780693931e-06,"CGN/HDAC1/TFDP2/NEDD4L/SMURF1/PARD6A/MTMR4/UBA52/UBB/RBL1/UCHL5/BAMBI/ITGB1/LTBP3/COL1A2/LTBP2/PARP1/CCNK/E2F4/ITGB3/ZFYVE9/SMAD2/SKIL/ITGB5/STRAP/FBN1/LTBP4/SKI/PPP1CC/F11R/MYC/STAT1/PPP1CA/STUB1/UBC/CDK9/FKBP1A/PPM1A/TGFBR2/CDKN2B/CCNC/SMURF2/JUNB/WWTR1/TGFB2/TFDP1/SMAD3/CCNT1/LTBP1/MAPK3/ARHGEF18/NCOR2/RHOA/TGFBR3/TGIF2/YBX1/TRIM33/NCOR1/SMAD4/SERPINE1/USP15/SMAD7/TGFB3/RNF111/EP300/USP9X/MEN1/SNW1/UBE2D3/MAPK1/FURIN/ITGB6/SP1/UBE2D1/CCNT2/TGFB1/TGIF1/CDK8/XPO1/PARD3/PPP1R15A/CBL/TGFBR1",83
"R-HSA-69242","S Phase","123/6811","150/11287",0.82,1.35888122155337,5.45811495658091,7.797376107207e-09,3.36066910220622e-06,3.36066910220622e-06,"PDS5B/STAG2/TFDP2/ANAPC15/ORC4/CDC26/PSMD7/UBA52/ADRM1/MAX/GINS4/ESCO2/RAD21/UBB/ORC6/PRIM2/ORC1/PSMB6/PSMC3/RPA3/PCNA/MCM6/SKP1/PSMD2/POLA2/E2F4/CDK2/PSMC2/PSMC6/RFC2/AKT2/MNAT1/PSMA3/PTK6/MCM4/CDC27/LIN9/ANAPC2/MYC/UBC/PSMB2/RPA1/ORC2/MCM3/RBX1/E2F1/LIN52/GMNN/SEM1/ANAPC10/PSMB1/ANAPC7/PSMA2/LIN54/ANAPC1/CDKN1A/ESCO1/CDC6/CCNA1/UBE2S/CDCA5/CDC23/WAPL/PSMA5/PSMB4/CCND1/POLE/MCM5/RFC5/TFDP1/PSMA6/POLD4/CDT1/PSMA7/PSMA4/GINS1/PRIM1/AKT1/PDS5A/CDC25B/CCNE2/PSMD8/CCNA2/STAG1/RFC4/RB1/LIN37/FEN1/RFC3/POLA1/CCNH/CDC25A/GINS3/RPA2/CDKN1B/PSMD3/POLD1/PSMD1/ORC5/RFC1/POLE2/CUL1/PSMD12/ANAPC4/ANAPC5/POLD2/UBE2D1/CDK4/CABLES1/POLD3/DNA2/ANAPC16/SKP2/MCM7/UBE2E1/RBL2/GSK3B/PSMB7/PSMA1/WEE1/ORC3/SMC3/FZR1",123
"R-HSA-9006936","Signaling by TGFB family members","128/6811","158/11287",0.810126582278481,1.34251926797493,5.34830176917424,1.6826910042118e-08,5.8019185825223e-06,5.8019185825223e-06,"SMAD1/CGN/HDAC1/TFDP2/NEDD4L/KLF16/SMURF1/PARD6A/MTMR4/UBA52/GIPC1/UBB/RBL1/BMPR1B/UCHL5/GREM2/BAMBI/ITGB1/LTBP3/COL1A2/LTBP2/PARP1/CCNK/ARRB2/E2F4/ITGB3/ZFYVE9/APH1B/SMAD2/APH1A/TNRC6A/SKIL/ITGB5/DRAP1/TCF12/STRAP/ARRB1/TNRC6C/FBN1/LTBP4/SKI/PPP1CC/F11R/RXRA/ACVRL1/MYC/STAT1/PPP1CA/STUB1/UBC/CDK9/SMAD9/FKBP1A/PPM1A/TGFBR2/TCF4/ACVR1B/CDKN2B/BMPR2/CCNC/HELLS/SMAD5/SMURF2/JUNB/INHBA/AGO3/WWTR1/ZFYVE16/TGFB2/MYCN/TFDP1/SMAD3/CCNT1/LTBP1/MAPK3/ACVR2A/ARHGEF18/NCOR2/MMP14/RHOA/TGFBR3/TGIF2/YBX1/TCF3/TRIM33/NCOR1/SMAD6/AGO4/BMPR1A/AGO2/INHA/SMAD4/SERPINE1/USP15/SMAD7/RARA/TGFB3/AGO1/RNF111/FST/FSTL1/MOV10/EP300/TNRC6B/USP9X/ACVR2B/MEN1/SNW1/UBE2D3/MAPK1/AMHR2/FURIN/ITGB6/SP1/UBE2D1/PSEN1/FSTL3/CCNT2/TGFB1/FGF2/TGIF1/CDK8/XPO1/PARD3/PPP1R15A/CBL/ACVR1C/TGFBR1",128
"R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","48/6811","51/11287",0.941176470588235,1.55969150250028,4.94149499992218,3.99341519925013e-08,1.14744130058454e-05,1.14744130058454e-05,"HDAC1/TFDP2/NEDD4L/UBA52/UBB/RBL1/COL1A2/PARP1/CCNK/E2F4/SMAD2/SKIL/SKI/MYC/STAT1/UBC/CDK9/PPM1A/CDKN2B/CCNC/SMURF2/JUNB/WWTR1/TFDP1/SMAD3/CCNT1/MAPK3/NCOR2/TGIF2/YBX1/TRIM33/NCOR1/SMAD4/SERPINE1/SMAD7/RNF111/EP300/USP9X/MEN1/SNW1/UBE2D3/MAPK1/FURIN/SP1/UBE2D1/CCNT2/TGIF1/CDK8",48
"R-HSA-109581","Apoptosis","132/6811","167/11287",0.790419161676647,1.30986067799799,4.97625621437009,1.71597313568935e-07,4.22619669418348e-05,4.22619669418348e-05,"PLEC/KPNA1/CARD8/TFDP2/DFFA/HMGB1/TP73/PSMD7/CLSPN/UBA52/TMED7-TICAM2/PTK2/ADRM1/ROCK1/FADD/STK26/UBB/TJP2/BAK1/PSMB6/PSMC3/CASP8/PPP3CC/PSMD2/DSG1/MAPK8/BCAP31/GSDME/DSG2/H1-1/YWHAG/YWHAQ/PSMC2/DCC/DIABLO/DYNLL1/PSMC6/STAT3/BAX/HMGB2/BID/AKT2/APC/PSMA3/UACA/RIPK1/TP63/UBC/PSMB2/CDKN2A/GSN/E2F1/H1-0/TRADD/BCL2L11/FASLG/SEM1/DYNLL2/PSMB1/PSMA2/PMAIP1/NMT1/BCL2L1/TP53BP2/BMF/APIP/PSMA5/PSMB4/TNFSF10/TNFRSF10A/TFDP1/PSMA6/MAPK3/PSMA7/PSMA4/PAK2/AVEN/SFN/AKT1/DNM1L/BIRC2/SPTAN1/CFLAR/TRAF2/STK24/KPNB1/PSMD8/TNFRSF10B/CYCS/FAS/DSP/CTNNB1/OMA1/TICAM1/XIAP/PPP3R1/YWHAB/DFFB/BMX/YWHAH/DAPK3/CASP7/TJP1/PSMD3/DAPK2/PSMD1/VIM/PPP1R13B/MAPK1/PSMD12/DAPK1/BBC3/YWHAZ/DBNL/APPL1/LMNB1/H1-4/CD14/H1-2/CASP6/H1-3/LMNA/PSMB7/ADD1/PSMA1/OPA1/FNTA/C1QBP/SATB1/GAS2/CDH1/PRKCD",132
"R-HSA-3700989","Transcriptional Regulation by TP53","260/6811","356/11287",0.730337078651685,1.21029431900478,4.97339572387027,2.39955467085824e-07,5.1710403156995e-05,5.1710403156995e-05,"TAF2/RMI1/CHEK2/BRCA1/NDRG1/HDAC1/ING2/TFDP2/PRKAG2/TPX2/NELFCD/ATF2/PPP2R1B/TP73/PPP1R13L/AURKB/PRKAG1/ZNF385A/TOPBP1/NELFB/UBA52/ELOA/HIPK1/MAP2K6/ERCC2/PPP2R5C/UBB/CNOT2/DDB2/RBL1/PRMT1/NBN/MEAF6/MDM4/PPP2R1A/RPA3/PCNA/CNOT9/CCNK/DYRK2/TOP3A/PIP4K2A/RICTOR/CHD4/E2F4/NOC2L/BNIP3L/CDK2/TNRC6A/YWHAG/GATAD2B/GPX2/YWHAQ/CRADD/FANCC/TNFRSF10D/TXN/RPTOR/PRDM1/G6PD/COX7B/LAMTOR3/RFC2/COX4I1/RRAGA/BAX/BID/AKT2/CASP10/MAPKAP1/MNAT1/COX6A1/TNRC6C/SUPT4H1/CHD3/BLM/TAF1/EHMT1/HIPK2/RRAGD/TP63/COX5A/NELFA/GLS/PRKAA1/E2F7/CDK1/FANCI/PRELID3A/UBC/CDK9/RPA1/TCEA1/CDKN2A/RNF34/SESN1/CNOT10/E2F1/CDK13/CNOT6L/GSR/POLR2K/NPM1/TXNRD1/COX8A/BRPF1/LAMTOR1/PMAIP1/BARD1/CDKN1A/HUS1/CCNA1/CDK5R1/BCL2L14/TP53BP2/CPAP/AGO3/CNOT6/PDPK1/COX7C/PIDD1/SCO2/PPP2CB/ARID3A/TIGAR/JUN/CREBBP/RFC5/CCNB1/TNFRSF10A/TFDP1/STK11/MTOR/CCNT1/BRIP1/MAPK14/RRAGC/MTA2/RRAGB/RAD9A/SGK1/SFN/PTEN/PRELID1/PRDX2/AKT1/COXFA4/MRE11/PHF20/AGO4/EXO1/AGO2/CCNE2/TBP/GTF2F2/TAF13/RAD50/RRM2B/BANP/CDK5/NUAK1/TNFRSF10B/TSC1/CCNA2/CYCS/FAS/PRKAB2/TAF10/BIRC5/TNKS1BP1/RFC4/RFC3/CSNK2A2/TAF8/RABGGTB/PMS2/POLR2I/AGO1/CCNH/PLK2/POLR2B/TP53I3/POLR2D/MOV10/CSNK2A1/YWHAB/TAF5/EP300/LAMTOR4/YWHAH/TNRC6B/USP7/RPA2/ELL/ATM/CDKN1B/POLR2G/PLK3/PML/COX5B/E2F8/SLC38A9/RFFL/MLST8/TAF11/BCL6/PIP4K2C/SUPT5H/GATAD2A/PPP1R13B/MSH2/PRDX1/CDK12/GTF2H5/RAD51D/KAT5/KMT5A/POLR2H/ELOC/KAT6A/PLAGL1/BBC3/AIFM2/YWHAZ/FOS/RHEB/COX7A2L/CHEK1/WRN/ATR/TMEM219/CNOT1/MBD3/CNOT4/MDM2/DNA2/POLR2A/CCNT2/PRDX5/RAD9B/CARM1/CASP1/SESN2/CASP6/COX6B2/COX6C/CNOT8/TP53RK/PERP/GTF2H3/ELOB/RBL2/ING5/LAMTOR2/COX7A2/TAF3/PRR5/POLR2E/RAD1/GADD45A",260
"R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic","156/6811","203/11287",0.768472906403941,1.27349195339617,4.85036853320722,3.88859369751602e-07,6.65577473557651e-05,6.65577473557651e-05,"KDELR2/COG6/KIF20A/GALNT1/TUBA4A/KIF25/TMED3/KIF21B/TUBA8/VPS45/GOLGA1/COPG2/DYNC1I2/TUBA1C/NAA35/GCC1/KIF15/RACGAP1/PAFAH1B1/COG3/DYNC1H1/KIF6/COPZ2/CYTH3/RAB18/MAN1C1/RAB43/RINT1/SNAP29/DCTN3/KIF20B/GOLGA5/BICD1/COPA/DYNLL1/ZW10/TUBA1B/ARFGAP3/VPS54/ARFRP1/DCTN1/ARFGAP2/IGF2R/PAFAH1B3/CUX1/COG2/GOLGA4/VPS53/TUBB3/MAN2A2/TUBB4B/AGPAT3/KIF12/KIF18B/KIF2B/USP6NL/KIF16B/NAPG/DYNLL2/COPZ1/DYNC1LI2/VAMP4/TUBB8/RAB39A/KIF3C/KIF13B/RHOBTB3/KIF2C/VTI1A/CYTH4/RAB6A/TMED10/CENPE/KIF1C/KIF22/KIF4A/DYNC1I1/ARL1/STX10/RABEPK/MAN1A2/ARF5/RAB1A/KIF26B/SYS1/PAFAH1B2/CAPZB/NAPB/KIF2A/COPB1/BNIP1/ARFIP2/NAPA/TRIP11/TMED9/NAA30/KIF3A/TUBB6/GBF1/TGOLN2/KIF11/RAB30/SURF4/VPS51/BET1L/DCTN4/GCC2/YKT6/PLA2G6/MAN1A1/STX18/KLC1/DYNC1LI1/USE1/PLIN3/COPG1/KDELR3/KIF1B/COPE/PLA2G4A/RAB33B/KIF5A/RAB3GAP1/ALPP/BICD2/KIF3B/ARCN1/GALNT2/RIC1/TUBB4A/ARF4/KLC4/CAPZA1/ACTR10/COG1/KDELR1/MAN2A1/RAB1B/COG5/RGP1/RAB3GAP2/RAB36/KIF21A/NBAS/GOLIM4/GOSR2/ARF1/ACTR1A/ARF3/KIF5B/SEC22B/KIF27/SCOC/CYTH1/CAPZA2/DCTN6",156
"R-HSA-9609507","Protein localization","129/6811","164/11287",0.786585365853659,1.30350741805759,4.8295947391651,3.94696218812711e-07,6.65577473557651e-05,6.65577473557651e-05,"PEX2/EPHX2/SLC25A4/DHRS4/CHCHD2/PECR/TOMM7/SLC25A13/EHHADH/ATP5F1A/CS/UBA52/BAAT/TIMM8B/SCP2/ATP5F1B/ACAA1/SLC27A2/PEX26/UBB/PXMP4/ALDH3A2/CYC1/CROT/TOMM40/AMACR/HMOX1/PIPOX/HAO1/ACOX2/GNPAT/CMC2/MPV17/ABCD3/HMGCL/TIMM8A/EMD/NUDT7/LONP2/COA4/MLYCD/SLC25A17/STX1A/ABCD1/UBC/CAMLG/PEX16/TIMM13/FXN/ACOX1/TOMM20/CHCHD7/TIMM21/TYSND1/AGXT/TIMM23/TIMM10/PEX6/ACO2/ACOT8/PEX12/VDAC1/OTC/HSCB/GET3/HAO2/SEC61B/HSPD1/IDH1/DDO/TIMM9/COQ2/MTX1/MTX2/ATAD1/PXMP2/ABCD2/GET4/HSD17B4/TIMM50/TOMM5/CYB5A/NOS2/ACBD5/ACOX3/TIMM17A/GRPEL1/PAOX/ZFAND6/GET1/SAMM50/CAT/USP9X/TIMM44/SGTA/OTOF/CHCHD4/IDE/PEX14/CMC4/PEX10/PEX11B/DNAJC19/UBE2D3/SLC25A12/BCS1L/CRAT/TOMM70/APP/VAPA/UBE2D1/UBE2D2/SERP1/PITRM1/COX19/AGPS/COX17/TOMM6/IDH3G/GSTK1/ECI2/COA6/PMPCB/CHCHD3/PHYH/ACOT2/FIS1/PEX1/ECH1",129
"R-HSA-4839726","Chromatin organization","271/6811","374/11287",0.724598930481283,1.20078521925448,4.8710870057573,4.24672401921935e-07,6.65577473557651e-05,6.65577473557651e-05,"BCL11A/SF3B1/KANSL3/CLOCK/HDAC1/TRRAP/KDM3B/ASH2L/ARID2/H2AC15/MBD2/KMT2D/ATF2/SNRPB2/KMT5B/PRDM16/SETD2/SUPT20H/ELP6/KDM2A/H4C3/NSD3/PRMT1/HAT1/PHF10/MEAF6/KMT2A/H2AC12/CBX3/H2BC9/H3C1/DHX15/KDM6A/SF3B4/NFKB1/CHD4/DPF3/H3C12/H2AC7/H2BC21/RUVBL2/DOT1L/GATAD2B/SF3B5/BICRA/MORF4L2/BRWD1/PRDM9/BRMS1/MSL1/ATF7IP/CDC73/KDM4A/KDM4C/TCF12/EED/EP400/RIOX2/H2AC16/KDM6B/EPC1/CHERP/ZNF827/ELP2/H3-3A/CHD3/SNRPD1/AXIN2/AEBP2/RBBP5/EHMT1/COPRS/H2BC18/PRMT3/H2AC4/CHD2/NR2F2/H2BC26/H2AC8/SS18/ACTL6A/H4C2/H3C2/PHF2/H2BC17/MECOM/H3-3B/MSL2/KDM7A/PWWP2A/KMT5C/TCF4/ENY2/GPS2/SMARCD3/BRPF1/KAT8/TBL1X/H3C10/MAFK/PHF8/KDM1B/CHD6/H2BC12/KDM1A/TAF5L/TBL1XR1/DNMT3A/H4C5/USP22/SNRPB/KMT2C/KAT14/RCOR1/H4C11/MCRS1/BICRAL/ARID1A/OGT/ARID4B/CCND1/ING3/ADNP/ATXN7L3/CREBBP/SF3A3/U2SURP/ZNF592/H4C9/H4C4/NFE2L2/BCL7C/KANSL2/ADNP2/SF3B3/TADA2B/ZZZ3/ING4/SETD7/MTA2/NCOR2/SNRPE/FBP1/HDAC10/PAF1/H3C3/ARID4A/H2BC12L/H2AC11/TCF3/H2BC15/CBX1/NCOR1/PHF21A/CDK2AP2/KDM4B/EZH2/SUMO1/PHF20/NCOA1/JAK2/MTA3/BCL7A/PWWP2B/H2AC17/KMT2B/H3C4/H2BC13/UBE2I/HCFC1/DDX46/KDM5B/H2AJ/ELP4/MBIP/YEATS2/SMARCD1/KAT6B/CTNNB1/TAF10/SMYD3/CHD7/SF3A1/ZNF532/ACTL6B/SETD1A/KAT2B/SAP130/DDX42/ARID1B/SNRPD3/LEO1/SF3B2/SMARCA4/PADI2/EP300/RTF1/RUVBL1/SS18L1/NSD2/SMARCC1/MORF4L1/NR2C2/SUV39H1/SUPT3H/KDM3A/CTCF/SAP30L/GATAD2A/YEATS4/H4C12/DPF2/H2AC13/RPS2/TAF6L/KAT5/KMT5A/ARID5B/ACTB/H2AC6/KAT6A/SMARCD2/BCL7B/ASH1L/CDK4/NCOA2/BRD9/G6PC1/NQO1/CHD9/MBD3/CHD8/ELP3/DMAP1/JADE3/CARM1/ZMYND8/NFKB2/SETD1B/SAP18/H3C11/SGF29/ELP1/REST/H2BC3/SUZ12/KAT7/VPS72/CTR9/H2AC21/H3C13/ATXN7/SETD6/HDAC8/H2BC5/ING5/SMNDC1/NSD1/JADE2/H3C6/TADA1/SMARCE1/CDK2AP1/PRMT7/KDM2B/JADE1/SETDB2/KDM5C/MRGBP/H2BC11/RBM17",271
